No,Candidate zID,Candidate Name,Test,Email ID,Faculty Name,School Name,Degree (PhD/MRes),Other roles within CSE,Password
1,z27693,eboiy,ad.student.unsw.edu.au,eboiy@ad.student.unsw.edu.au,Faculty of Engineering,Faculty of Engineering,Doctorate,,oStvp
2,z26743,cjclw,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,3IezP
3,z11330,cmpxy,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,qkUqk
4,z82918,lnczb,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,4CimQ
5,z73733,qelcs,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,TGtJO
6,z34966,xhooq,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,cZZfz
7,z98966,qttag,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,ygJhN
8,z58853,nanhc,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,t7CIK
9,z10987,exocn,ad.student.unsw.edu.au,z10987@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,eW3im
10,z34509,qonaf,ad.student.unsw.edu.au,z34509@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,zAyfc
11,z65363,bliax,ad.student.unsw.edu.au,z65363@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,mPQEK
12,z36563,dfaav,ad.student.unsw.edu.au,z36563@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,LxEXb
13,z27693,eboiy,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,CrpAX
14,z26743,cjclw,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,VYZD5
15,z11330,cmpxy,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,oOEDu
16,z82918,lnczb,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,iZnwI
17,z73733,qelcs,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,AVigh
18,z34966,xhooq,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,yRhiu
19,z98966,qttag,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,VuJpa
20,z58853,nanhc,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,7nlwn
21,z27693,exocn,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,vi3l7
22,z26743,qonaf,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,12344
23,z11330,bbvhv,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,CTKQ
24,z82918,dhdnd,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,iE2v1
25,z73733,eboiy,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,g54lY
26,z34966,cjclw,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,373rA
27,z98966,cmpxy,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,Zvttw
28,z58853,lnczb,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,ojg8l
29,z10987,qelcs,ad.student.unsw.edu.au,z10987@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,W2uwt
30,z34509,xhooq,ad.student.unsw.edu.au,z34509@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,ehE2R
31,z12546,qttag,ad.student.unsw.edu.au,z12546@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,SsPlI
32,z56858,nanhc,ad.student.unsw.edu.au,z56858@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,Zuazw
33,z27693,exocn,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,bwBXK
34,z26743,qonaf,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,71lOj
35,z11330,sdfgg,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,3mNXj
36,z82918,teddss,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,GoCOW
37,z73733,eboiy,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,094Fh
38,z34966,eboiy,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,CSBYO
39,z98966,cjclw,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,WcTkc
40,z58853,cmpxy,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,5XYII
41,z27693,lnczb,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,JaPR2
42,z26743,qelcs,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,N061t
43,z11330,xhooq,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,zMg5W
44,z82918,qttag,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,vXKHb
45,z73733,nanhc,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,oLuBt
46,z34966,exocn,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,kGFbG
47,z98966,qonaf,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,nhqjT
48,z58853,onaz,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,ycAgs
49,z10987,daisy,ad.student.unsw.edu.au,z10987@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,wUPP4
50,z34509,eboiy,ad.student.unsw.edu.au,z34509@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,aJVZO
51,z85858,cjclw,ad.student.unsw.edu.au,z85858@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,Tx06f
52,z65656,cmpxy,ad.student.unsw.edu.au,z65656@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,Ji31w
53,z27693,lnczb,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,lU6Lh
54,z26743,qelcs,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,H5ECt
55,z11330,xhooq,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,mM1hx
56,z82918,qttag,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,SxzlB
57,z73733,nanhc,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,4aiHy
58,z34966,exocn,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,sdWOc
59,z98966,qonaf,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,vqcCi
60,z58853,prads,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,5n82i
61,z27693,nands,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,0A2y1
