No,Staff z ID,Candidate Name,Test,Email ID,Faculty Name,School Name,Title,Role,Password
1,z17887,aooif,unsw.edu.au,aooif@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,A/Prof,Academic,CrpAX
2,z44293,hyhsy,unsw.edu.au,hyhsy@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Prof,Academic,VYZD5
3,z54322,tjfxr,unsw.edu.au,tjfxr@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Mr,Professional,oOEDu
4,z54437,tzoyy,unsw.edu.au,tzoyy@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Ms,Professional,iZnwI
5,z47478,kjkkx,unsw.edu.au,kjkkx@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Prof,Academic,AVigh
6,z97732,trgje,unsw.edu.au,trgje@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Dr,Academic,yRhiu
7,z55294,mzzpu,unsw.edu.au,mzzpu@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Ms,Professional,VuJpa
8,z40039,ytsce,unsw.edu.au,ytsce@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Prof,Academic,7nlwn
9,z19077,jluty,unsw.edu.au,jluty@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Ms,NA,vi3l7
10,z96765,jfvyy,unsw.edu.au,jfvyy@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Mr,NA,12344
11,z22571,xjqxo,unsw.edu.au,xjqxo@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Prof,Academic,CTKQ
12,z57459,vkmlm,unsw.edu.au,vkmlm@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Dr,Academic,iE2v1
13,z30559,jgxuq,unsw.edu.au,jgxuq@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Ms,Professional,g54lY
14,z65338,dbpvo,unsw.edu.au,dbpvo@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Mr,NA,373rA
15,z32552,ogari,unsw.edu.au,ogari@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Prof,Academic,Zvttw
16,z3658,croav,unsw.edu.au,croav@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Prof,Academic,ojg8l
17,z17887,xjmmj,unsw.edu.au,xjmmj@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Prof,Academic,W2uwt
18,z44293,abvgn,unsw.edu.au,abvgn@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Dr,Academic,ehE2R
19,z54322,lpgyy,unsw.edu.au,lpgyy@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Ms,Professional,SsPlI
20,z54437,ygjby,unsw.edu.au,ygjby@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Dr,Academic,Zuazw
21,z47478,xqaqw,unsw.edu.au,xqaqw@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,A/Prof,Academic,bwBXK
22,z97732,lkiki,unsw.edu.au,lkiki@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Mr,Professional,71lOj
23,z55294,psml,unsw.edu.au,psml@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,A/Prof,Academic,3mNXj
24,z40039,zesqr,unsw.edu.au,zesqr@unsw.edu.au,Faculty of Engineering,School of Computer Civil Eng,A/Prof,Academic,GoCOW
25,z19077,qwjgy,unsw.edu.au,qwjgy@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Ms,Academic,094Fh
26,z96765,bvljb,unsw.edu.au,bvljb@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,A/Prof,Academic,CSBYO
27,z22571,rjpju,unsw.edu.au,rjpju@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Adjunct Prof,Academic,WcTkc
28,z57459,liqqz,unsw.edu.au,liqqz@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Dr,Academic,5XYII
29,z30559,gmfzg,unsw.edu.au,gmfzg@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Prof,Academic,JaPR2
30,z65338,achdi,unsw.edu.au,achdi@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Mr,Professional,N061t
31,z25993,aowom,unsw.edu.au,aowom@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Dr,Academic,zMg5W
32,z33652,vsxla,unsw.edu.au,vsxla@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Mr,Professional,vXKHb
33,z17887,pczae,unsw.edu.au,pczae@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Ms,Professional,oLuBt
34,z44293,zgwrl,unsw.edu.au,zgwrl@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Mr,Professional,kGFbG
35,z54322,uwnoi,unsw.edu.au,uwnoi@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Dr,Academic,nhqjT
36,z54437,ofjzr,unsw.edu.au,ofjzr@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,A/Prof,Academic,ycAgs
37,z47478,dcrkv,unsw.edu.au,dcrkv@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Prof,Academic,wUPP4
38,z97732,jnsrf,unsw.edu.au,jnsrf@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Assistant Prof,Academic,aJVZO
39,z55294,mqrci,unsw.edu.au,mqrci@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Assistant Prof,Academic,Tx06f
40,z40039,whjat,unsw.edu.au,whjat@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Prof,Academic,Ji31w
41,z19077,oshgy,unsw.edu.au,oshgy@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Mr,NA,lU6Lh
42,z96765,ggeqk,unsw.edu.au,ggeqk@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,A/Prof,Academic,H5ECt
43,z22571,ncxdi,unsw.edu.au,ncxdi@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Ms,Professional,mM1hx
44,z57459,fjujf,unsw.edu.au,fjujf@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Mr,Professional,SxzlB
45,z30559,dfddd,unsw.edu.au,dfddd@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Dr,Academic,4aiHy
46,z65338,gftyu,unsw.edu.au,gftyu@unsw.edu.au,Faculty of Engineering,School of Electrical Eng,Prof,Academic,sdWOc
47,z25263,dsf ss,unsw.edu.au,dsf ss@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Assistant Prof,Academic,vqcCi
48,z98585,dsfsfs,unsw.edu.au,dsfsfs@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Adjunct Prof,Academic,5n82i
49,z17887,eydzs s,unsw.edu.au,eydzs s@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Prof,Academic,0A2y1
50,z44293,dtyd ,unsw.edu.au,dtyd @unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,None,Academic,XdYSH
51,z54322,fgfd ss,unsw.edu.au,fgfd ss@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Ms,Professional,JaPR2
52,z54437,fdy rea,unsw.edu.au,fdy rea@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Dr,Academic,N061t
53,z47478,kiuns,unsw.edu.au,kiuns@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Ms,Professional,zMg5W
54,z97732,mxivj ,unsw.edu.au,mxivj @unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Mr,Professional,vXKHb
55,z55294,m  hs,unsw.edu.au,m  hs@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,A/Prof,Academic,oLuBt
56,z40039,s ffdg,unsw.edu.au,s ffdg@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Prof,Academic,kGFbG
57,z19077,fgfffs,unsw.edu.au,fgfffs@unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,A/Prof,Academic,nhqjT
